GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Voltage (OBD Adapter)(V)
Sun Dec 26 13:07:09 GMT 2021,26-Dec-2021 13:07:09.698,-9.186285,51.95651333333333,0.34898168,2.1,208.4,91.54,-0.504,4.729,8.367,0.0063631833,0.0,0.41999998688697815,1.2563340663909912,11.5
Sun Dec 26 13:07:10 GMT 2021,26-Dec-2021 13:07:10.697,-9.186281666666668,51.95650833333334,0.30471554,2.2,208.4,133.76,-1.288,5.122,8.21,0.009090652,0.0,0.41999998688697815,1.0969759225845337,12.199999809265137
Sun Dec 26 13:07:11 GMT 2021,26-Dec-2021 13:07:11.698,-9.186278333333332,51.956498333333336,0.24037528,2.1,208.4,134.37,-0.425,5.906,7.582,-0.0071231523,0.0,0.41999998688697815,0.8653509616851807,11.5
Sun Dec 26 13:07:12 GMT 2021,26-Dec-2021 13:07:12.698,-9.186278333333332,51.956496666666666,0.0,2.2,208.5,179.32,-0.268,5.828,7.582,-0.0057885647,0.0,0.41999998688697815,0.0,11.5
Sun Dec 26 13:07:13 GMT 2021,26-Dec-2021 13:07:13.698,-9.186275,51.95649333333334,0.0,2.2,208.6,177.36,-0.19,5.671,7.661,9.5733063E-4,0.0,0.41999998688697815,0.0,11.5
Sun Dec 26 13:07:13 GMT 2021,26-Dec-2021 13:07:14.699,-9.186275,51.95649333333334,0.0,2.2,208.6,177.36,-0.111,5.671,7.896,-2.957061E-4,0.0,0.41999998688697815,0.0,11.5
Sun Dec 26 13:07:15 GMT 2021,26-Dec-2021 13:07:15.698,-9.186273333333332,51.95649333333334,0.0,2.2,208.5,197.04,-0.582,5.279,8.445,-0.010557452,0.0,0.41999998688697815,0.0,11.5
Sun Dec 26 13:07:16 GMT 2021,26-Dec-2021 13:07:16.697,-9.186273333333332,51.95649333333334,0.0,2.2,208.5,197.04,-0.739,5.828,7.582,-0.008328641,0.0,0.41999998688697815,0.0,11.5
Sun Dec 26 13:07:17 GMT 2021,26-Dec-2021 13:07:17.698,-9.186273333333332,51.95649333333334,0.0,2.2,208.5,197.04,-1.681,6.22,7.268,-0.009393585,0.0,0.41999998688697815,0.0,11.5
Sun Dec 26 13:07:18 GMT 2021,26-Dec-2021 13:07:18.697,-9.186273333333332,51.95649333333334,0.0,2.2,208.5,197.04,-1.916,6.063,7.033,-0.014511704,0.0,0.41999998688697815,0.0,11.800000190734863
Sun Dec 26 13:07:19 GMT 2021,26-Dec-2021 13:07:19.698,-9.186273333333332,51.95649333333334,0.0,2.2,208.5,197.04,-1.837,5.985,7.425,0.0061460785,0.0,0.41999998688697815,0.0,11.5
